TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073317.00  ENLEM: 25692.000000 BOYLAM: 57151.000000  RAKIM: 114.9
TARİH: 050717 SAAT: 073317.00  ENLEM: 25692.000000 BOYLAM: 57151.000000  RAKIM: 114.9
TARİH: 050717 SAAT: 073317.00  ENLEM: 25692.000000 BOYLAM: 57151.000000  RAKIM: 114.9
TARİH: 050717 SAAT: 073317.00  ENLEM: 25692.000000 BOYLAM: 57151.000000  RAKIM: 114.9
TARİH: 050717 SAAT: 073317.00  ENLEM: 25692.000000 BOYLAM: 57151.000000  RAKIM: 114.9
TARİH: 050717 SAAT: 073317.00  ENLEM: 25692.000000 BOYLAM: 57151.000000  RAKIM: 114.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073712.00  ENLEM: 25657.000000 BOYLAM: 57739.000000  RAKIM: 123.9
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
TARİH: 050717 SAAT: 073713.00  ENLEM: 25656.000000 BOYLAM: 57730.000000  RAKIM: 123.4
